@relation isHeader-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S434-weka.filters.unsupervised.instance.Randomize-S323

@attribute CellContent string
@attribute classa {yes,no}

@data
'Drugs That Are Affected By KETEK',yes
'Furosemide ( > 80 mg IV)HeparinHydantoinsNon SteroidalAnti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)',no
'Re-evaluate dosing. ',no
'carbamazepine',no
'1.6',no
'10 mg/day ',no
'0.51 ',no
'Coadministered Drug',yes
'Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide',no
'Coadministered Drug',yes
'1.5',no
'Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant CIPRO XR therapy is indicated.',no
'Drugs that may decrease thyroid hormone secretion, which may \result in hypothyroidism',yes
'Dosing of Vardenafil 5 mgand Alpha-BlockerSeparated by 6 Hours,Placebo-Subtracted',no
'InteractionInteraction',no
'1.8',no
'Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)',no
'Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives',no
'Clinical Comment',yes
'The concomitant use of CNS depressants can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death.',no
'573 ± 168 mg/day',no
'1.4',no
'Coadministered Drug',yes
'Risperidone',no
'4 mg/day',no
'Ketamine',no
'Decreased lamotrigine AUCapproximately 32\%.',no
'Tamoxifen',no
'Telaprevir',no
'¯Ethinyl estradiol¯ Norethindrone',no
'\% Change of Didanosine Pharmacokeinetic ParametersThe 95\% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.',no
'Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)',no
'Asparaginase',no
'Increased exposure to eluxadoline when coadministered with cyclosporine [see Clinical Pharmacology (12.3)]',no
'\% Change of Didanosine Pharmacokinetic ParametersThe 90\% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.',no
'Cmax ',yes
'Drugs that may alter T and T serum transport - but FT concentration remains normal; and, therefore, the patient remains euthyroid',yes
'Clofibrate',no
'Tmax(hr)',yes
'4 mg/day',no
'150 mg twice daily',no
'diarrheaelevated temperaturehepatic disorders infectious hepatitis jaundice',no
'Exposure',yes
'Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNITROPRUSSIDEPara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics',no
'Didanosine Dosage ',yes
'Appropriate doses for these combinations have not been established.',no
'573 ± 168 mg/day',no
'Effect on Active Moiety (Risperidone + 9-Hydroxy-Risperidone (RatioChange relative to reference) ',yes
'Cmax(ng/mL)',yes
'Dose adjustment not needed',no
'0.94',no
'Oral drugs that are to be separated from Velphoro and meals',yes
'Voriconazole Plasma Exposure (Cmax and AUC? after 200 mg q12h)',yes
'1 mg single dose',no
'Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.',no
'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30\% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).',no
'Risperidone Dose Recommendation ',yes
'Avoid Use Five-fold increase in duloxetine exposure ',no
'Atazanavir 300 mg/100 mg?42 (?52 to ?29)',no
'Cmx',yes
'Radiographic Agents',yes
'lomefloxacinmebendazolemedroxyprogesteronemethylprednisolonemetronidazolemetoprolol\nadolol\nifedipine\nizatidine\norfloxacinofloxacinomeprazoleprednisone, prednisolone\ranitidine\rifabutin\roxithromycinsorbitol(purgative doses do not inhibit\theophylline absorption)sucralfate\terbutaline, systemic\terfenadine\tetracycline\tocainide',no
'Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements.Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.',no
'Re-evaluate dosing. ',no
'Addition of levothyroxine to antidiabetic or insulin therapy may result in increased antidiabetic agent or insulin requirements. Careful monitoring of diabetic control is recommended, especially when thyroid therapy is started, changed, or discontinued.',no
'Decrease ciprofloxacin absorption, resulting in lower serum and urine levels',no
'Noted or anticipated Outcome',yes
'Slow-Release Nicotinic Acid',no
'CmaxSS(Peak plasma concentration)',yes
'500 mg four times daily',no
'Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide',no
'1 mg single dose',no
'There have been a number of reports regarding coma and death associated with the misuse and abuse of the combination of buprenorphine and benzodiazepines. In many, but not all of these cases, buprenorphine was misused by self-injection of crushed buprenorphine tablets. Preclinical studies have shown that the combination of benzodiazepines and buprenorphine altered the usual ceiling effect on buprenorphine-induced respiratory depression, making the respiratory effects of buprenorphine appear similar to those of full opioid agonists.',no
'bosentan',no
'Recommendation(Exposure)',yes
'EFFECT',yes
'Iodide and drugs that contain pharmacologic amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave\'s disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyper functioning thyroid adenoma). Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation. Amiodarone may induce hyperthyroidism by causing thyroiditis.',no
'Vardenafil10 mgPlacebo-Subtracted',yes
'10 mg/day ',no
'¯Amprenavir  ­Nevirapine',no
'AmiodaroneIodide (including iodine-containing Radiographic contrast agents)',no
'Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly',yes
'AUC ofDidanosine(90\% CI) ',yes
'1.1 ',no
'Drugs that may alter T nd T metabolism',yes
'Coadministered Drug',yes
'Co-administered Drug ',yes
'AUC ofDidanosine(95\% CI)',yes
'Cmax',yes
'¯ Methadone',no
'Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ',no
'Clinical Comment',yes
'Clofibrate Estrogen-containing oral contraceptives Estrogens (oral) Heroin / Methadone 5-Fluorouracil Mitotane Tamoxifen',no
'Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine NITROPRUSSIDE Para-aminosalicylate sodium Perphenazine Resorcinol  (excessive topical use) Thiazide Diuretics',no
'-',no
'150 mg twice daily',no
'Nelfinavir* ',no
'Inducers',yes
'Dosing Schedule ',yes
'Plasma concentrations may be increased.',no
'AUC ',yes
'1.1 ',no
'Carbamazepine Hydantoins Phenobarbital Rifampin',no
'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)',no
'Drugs that may increase serum TBG concentration',yes
'1.1 ',no
'0.51 ',no
'AminoglutethimideAmiodaroneIodide (including iodine-   containing radiographic   contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide',no
'Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid',no
'Specific Drugs',yes
'na   ',no
'1.4 ',no
'¯ Ketoconazole',no
'n',yes
'Calcitriol Ciprofloxacin Digoxin Enalapril Furosemide HMG-CoA reductase inhibitors Hydrochlorothiazide Losartan Metoprolol Nifedipine Omeprazole Quinidine Warfarin',no
'2 or 3 mg twicedaily',no
'Avoid Use (Plasma Exposure Likely to be Increased and Prolonged) ',no
'1.4 ',no
'Recommendations for VoriconazoleDosage Adjustment/Comments',yes
'ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen',no
'Use with caution(Increase in anticoagulant effect)',no
'Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)]. ',no
'Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing. ',no
'Voriconazole Plasma Exposure(Cmax and AUC? after200 mg Q12h)',yes
'Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , Ieading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30\% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).',no
'Type of Interaction',yes
'1.4 ',no
'Dosing Schedule',yes
'¯ Indinavir',no
'Oral drugs that have demonstrated interaction with sevelamer and are to be dosed separately from Renagel',yes
'Drug',yes
'Monitor for sildenafil toxicity (see Pharmacokinetics 12.3). ',no
'Drug Plasma Exposure (Cmax and AUC?)',yes
'AmiodaroneIodide (including iodine-containing Radiographic contrast agents)',no
'Excessive use of thyroid hormones with growth hormones may accelerate epiphyseal closure. However, untreated hypothyroidism may interfere with growth response to growth hormone.',no
'0.55',no
'Decreased lamotrigine concentrationsapproximately 50\%. Decrease in levonorgestrel component by 19\%.',no
'Drugs that may decrease serum TBG concentration',yes
'Mean Ratio ofCo-administered DrugPharmacokinetic Parameters90\% CI; No effect = 1.00',no
'Decreased lamotrigine concentrationapproximately 50\%.',no
'400 mg twice daily',no
